participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
16,1,葛藤あり,行動あり,5.833333333333333,post,scale,勇気尺度,,
17,1,葛藤あり,行動あり,4.833333333333333,post,scale,勇気尺度,,
22,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
24,1,葛藤あり,行動あり,2.3333333333333335,post,scale,勇気尺度,,
30,1,葛藤あり,行動あり,2.6666666666666665,post,scale,勇気尺度,,
32,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
33,1,葛藤あり,行動あり,5.333333333333333,post,scale,勇気尺度,,
37,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
41,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
42,1,葛藤あり,行動あり,3.1666666666666665,post,scale,勇気尺度,,
43,1,葛藤あり,行動あり,3.5,post,scale,勇気尺度,,
51,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
56,1,葛藤あり,行動あり,2.8333333333333335,post,scale,勇気尺度,,
70,1,葛藤あり,行動あり,2.6666666666666665,post,scale,勇気尺度,,
80,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
89,1,葛藤あり,行動あり,7.0,post,scale,勇気尺度,,
97,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
100,1,葛藤あり,行動あり,2.0,post,scale,勇気尺度,,
101,1,葛藤あり,行動あり,2.3333333333333335,post,scale,勇気尺度,,
116,1,葛藤あり,行動あり,2.5,post,scale,勇気尺度,,
119,1,葛藤あり,行動あり,2.1666666666666665,post,scale,勇気尺度,,
16,1,葛藤あり,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
17,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
22,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
24,1,葛藤あり,行動あり,-1.1666666666666665,diff,scale,勇気尺度,,
30,1,葛藤あり,行動あり,0.8333333333333333,diff,scale,勇気尺度,,
32,1,葛藤あり,行動あり,0.16666666666666652,diff,scale,勇気尺度,,
33,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
37,1,葛藤あり,行動あり,0.3333333333333335,diff,scale,勇気尺度,,
41,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
42,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
43,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
51,1,葛藤あり,行動あり,1.0,diff,scale,勇気尺度,,
56,1,葛藤あり,行動あり,0.3333333333333335,diff,scale,勇気尺度,,
70,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
80,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
89,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
97,1,葛藤あり,行動あり,1.0,diff,scale,勇気尺度,,
100,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
101,1,葛藤あり,行動あり,0.8333333333333335,diff,scale,勇気尺度,,
116,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
119,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
16,2,葛藤あり,行動なし,5.833333333333333,post,scale,勇気尺度,,
17,2,葛藤あり,行動なし,4.666666666666667,post,scale,勇気尺度,,
22,2,葛藤あり,行動なし,4.833333333333333,post,scale,勇気尺度,,
24,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
30,2,葛藤あり,行動なし,2.1666666666666665,post,scale,勇気尺度,,
32,2,葛藤あり,行動なし,3.5,post,scale,勇気尺度,,
33,2,葛藤あり,行動なし,5.666666666666667,post,scale,勇気尺度,,
37,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
41,2,葛藤あり,行動なし,4.333333333333333,post,scale,勇気尺度,,
42,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
43,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
51,2,葛藤あり,行動なし,2.6666666666666665,post,scale,勇気尺度,,
56,2,葛藤あり,行動なし,2.0,post,scale,勇気尺度,,
70,2,葛藤あり,行動なし,2.8333333333333335,post,scale,勇気尺度,,
80,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
89,2,葛藤あり,行動なし,7.0,post,scale,勇気尺度,,
97,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
100,2,葛藤あり,行動なし,2.1666666666666665,post,scale,勇気尺度,,
101,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
116,2,葛藤あり,行動なし,2.3333333333333335,post,scale,勇気尺度,,
119,2,葛藤あり,行動なし,2.1666666666666665,post,scale,勇気尺度,,
16,2,葛藤あり,行動なし,0.16666666666666607,diff,scale,勇気尺度,,
17,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
22,2,葛藤あり,行動なし,0.33333333333333304,diff,scale,勇気尺度,,
24,2,葛藤あり,行動なし,0.16666666666666652,diff,scale,勇気尺度,,
30,2,葛藤あり,行動なし,0.33333333333333326,diff,scale,勇気尺度,,
32,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
33,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
37,2,葛藤あり,行動なし,0.5,diff,scale,勇気尺度,,
41,2,葛藤あり,行動なし,0.49999999999999956,diff,scale,勇気尺度,,
42,2,葛藤あり,行動なし,0.16666666666666652,diff,scale,勇気尺度,,
43,2,葛藤あり,行動なし,0.16666666666666652,diff,scale,勇気尺度,,
51,2,葛藤あり,行動なし,0.6666666666666665,diff,scale,勇気尺度,,
56,2,葛藤あり,行動なし,-0.5,diff,scale,勇気尺度,,
70,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
80,2,葛藤あり,行動なし,-0.3333333333333335,diff,scale,勇気尺度,,
89,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
97,2,葛藤あり,行動なし,0.666666666666667,diff,scale,勇気尺度,,
100,2,葛藤あり,行動なし,-0.16666666666666696,diff,scale,勇気尺度,,
101,2,葛藤あり,行動なし,2.1666666666666665,diff,scale,勇気尺度,,
116,2,葛藤あり,行動なし,-0.16666666666666652,diff,scale,勇気尺度,,
119,2,葛藤あり,行動なし,-0.3333333333333335,diff,scale,勇気尺度,,
16,3,葛藤なし,行動あり,5.666666666666667,post,scale,勇気尺度,,
17,3,葛藤なし,行動あり,4.833333333333333,post,scale,勇気尺度,,
22,3,葛藤なし,行動あり,5.166666666666667,post,scale,勇気尺度,,
24,3,葛藤なし,行動あり,3.5,post,scale,勇気尺度,,
30,3,葛藤なし,行動あり,2.1666666666666665,post,scale,勇気尺度,,
32,3,葛藤なし,行動あり,3.6666666666666665,post,scale,勇気尺度,,
33,3,葛藤なし,行動あり,5.333333333333333,post,scale,勇気尺度,,
37,3,葛藤なし,行動あり,4.0,post,scale,勇気尺度,,
41,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
42,3,葛藤なし,行動あり,3.3333333333333335,post,scale,勇気尺度,,
43,3,葛藤なし,行動あり,3.5,post,scale,勇気尺度,,
51,3,葛藤なし,行動あり,1.8333333333333333,post,scale,勇気尺度,,
56,3,葛藤なし,行動あり,2.0,post,scale,勇気尺度,,
70,3,葛藤なし,行動あり,2.5,post,scale,勇気尺度,,
80,3,葛藤なし,行動あり,3.6666666666666665,post,scale,勇気尺度,,
89,3,葛藤なし,行動あり,7.0,post,scale,勇気尺度,,
97,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
100,3,葛藤なし,行動あり,2.1666666666666665,post,scale,勇気尺度,,
101,3,葛藤なし,行動あり,3.8333333333333335,post,scale,勇気尺度,,
116,3,葛藤なし,行動あり,1.8333333333333333,post,scale,勇気尺度,,
119,3,葛藤なし,行動あり,1.6666666666666667,post,scale,勇気尺度,,
16,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
17,3,葛藤なし,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
22,3,葛藤なし,行動あり,0.666666666666667,diff,scale,勇気尺度,,
24,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
30,3,葛藤なし,行動あり,0.33333333333333326,diff,scale,勇気尺度,,
32,3,葛藤なし,行動あり,0.16666666666666652,diff,scale,勇気尺度,,
33,3,葛藤なし,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
